source,target,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources,category_intercell_source,parent_intercell_source,database_intercell_source,scope_intercell_source,aspect_intercell_source,category_source_intercell_source,uniprot_intercell_source,genesymbol_intercell_source,entity_type_intercell_source,consensus_score_intercell_source,transmitter_intercell_source,receiver_intercell_source,secreted_intercell_source,plasma_membrane_transmembrane_intercell_source,plasma_membrane_peripheral_intercell_source,category_intercell_target,parent_intercell_target,database_intercell_target,scope_intercell_target,aspect_intercell_target,category_source_intercell_target,uniprot_intercell_target,genesymbol_intercell_target,entity_type_intercell_target,consensus_score_intercell_target,transmitter_intercell_target,receiver_intercell_target,secreted_intercell_target,plasma_membrane_transmembrane_intercell_target,plasma_membrane_peripheral_intercell_target
P23560,P48995,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P23560,BDNF,protein,20,True,False,True,False,False,receptor,receptor,talklr;scConnect;connectomeDB2020;CellCall;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P48995,TRPC1,protein,2,False,True,False,False,False
P19235,Q13507,True,False,True,True,False,3,TRIP:18276585;TRIP:19074769;TRIP:21757714,TRIP,post_translational,18276585;19074769;21757714,3,1,1,ligand,ligand,Adhesome;OmniPath,generic,functional,resource_specific,P19235,EPOR,protein,1,True,False,True,True,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q13507,TRPC3,protein,3,False,True,False,False,False
P06241,Q9Y210,True,False,True,True,False,2,HPRD:14761972;TRIP:14761972,HPRD;PhosphoPoint;TRIP,post_translational,14761972,1,3,3,ligand,ligand,OmniPath,generic,functional,resource_specific,P06241,FYN,protein,2,True,False,False,False,False,receptor,receptor,GO_Intercell;Ramilowski_location;OmniPath,generic,functional,resource_specific,Q9Y210,TRPC6,protein,1,False,True,False,False,False
P01185,Q9Y210,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P01185,AVP,protein,15,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,Q9Y210,TRPC6,protein,1,False,True,False,False,False
P01138,Q8NER1,False,False,False,False,False,1,CellTalkDB:17074976,CellTalkDB,post_translational,17074976,1,1,1,ligand,ligand,talklr;connectomeDB2020;iTALK;EMBRACE;CellPhoneDB;ICELLNET;CellTalkDB;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P01138,NGF,protein,20,True,False,True,False,False,receptor,receptor,GO_Intercell;OmniPath,generic,functional,resource_specific,Q8NER1,TRPV1,protein,4,False,True,False,False,False
P20783,Q8NER1,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P20783,NTF3,protein,20,True,False,True,False,False,receptor,receptor,scConnect;CellCellInteractions;HGNC;GO_Intercell;Baccin2019;OmniPath,generic,functional,resource_specific,Q8NER1,TRPV1,protein,4,False,True,False,False,False
P06241,Q9HBA0,True,False,True,True,False,2,HPRD:12538589;TRIP:12538589,HPRD;PhosphoPoint;TRIP,post_translational,12538589,1,3,3,ligand,ligand,OmniPath,generic,functional,resource_specific,P06241,FYN,protein,2,True,False,False,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,Q9HBA0,TRPV4,protein,3,False,True,False,False,False
Q9UEF7,Q9NQA5,True,False,True,True,False,3,TRIP:16239475;TRIP:18495742;TRIP:18606998,TRIP,post_translational,16239475;18495742;18606998,3,1,1,ligand,ligand,OmniPath,generic,functional,resource_specific,Q9UEF7,KL,protein,3,True,False,True,True,False,receptor,receptor,GO_Intercell;Ramilowski_location;Zhong2015;HGNC;OmniPath,generic,functional,resource_specific,Q9NQA5,TRPV5,protein,1,False,True,False,False,False
P60903,Q9NQA5,True,False,True,True,False,2,Lit-BM-17:12660155;TRIP:12660155,Lit-BM-17;TRIP,post_translational,12660155,1,2,2,ligand,ligand,OmniPath,generic,functional,resource_specific,P60903,S100A10,protein,3,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q9NQA5,TRPV5,protein,1,False,True,False,False,False
P06241,Q9H1D0,True,False,True,True,False,1,TRIP:17197020,TRIP;Wang,post_translational,17197020,1,2,2,ligand,ligand,OmniPath,generic,functional,resource_specific,P06241,FYN,protein,2,True,False,False,False,False,receptor,receptor,talklr;scConnect;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,Q9H1D0,TRPV6,protein,2,False,True,False,False,False
Q9UEF7,Q9H1D0,True,False,True,True,False,2,TRIP:16239475;TRIP:18495742,TRIP,post_translational,16239475;18495742,2,1,1,ligand,ligand,OmniPath,generic,functional,resource_specific,Q9UEF7,KL,protein,3,True,False,True,True,False,receptor,receptor,OmniPath,generic,functional,resource_specific,Q9H1D0,TRPV6,protein,2,False,True,False,False,False
P60903,Q9H1D0,True,False,True,True,False,5,CellTalkDB:18187190;HPRD:12660155;TRIP:12660155;TRIP:16189514;TRIP:18187190,CellTalkDB;HPRD;TRIP,post_translational,12660155;16189514;18187190,3,3,3,ligand,ligand,OmniPath,generic,functional,resource_specific,P60903,S100A10,protein,3,True,False,True,False,False,receptor,receptor,talklr;Cellinker;scConnect;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,Q9H1D0,TRPV6,protein,2,False,True,False,False,False
P04637,O94759,False,True,True,False,True,1,SPIKE:18431400,SPIKE,post_translational,18431400,1,1,1,ligand,ligand,OmniPath,generic,functional,resource_specific,P04637,TP53,protein,1,True,False,False,False,False,receptor,receptor,Surfaceome;OmniPath,generic,functional,resource_specific,O94759,TRPM2,protein,2,False,True,False,False,False
P01375,O94759,False,False,False,False,False,1,CellTalkDB:16306129,CellTalkDB,post_translational,16306129,1,1,1,ligand,ligand,,generic,functional,resource_specific,P01375,TNF,protein,19,True,False,True,False,False,receptor,receptor,talklr;scConnect;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,O94759,TRPM2,protein,2,False,True,False,False,False
P01375,Q15746,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P01375,TNF,protein,19,True,False,True,False,False,receptor,receptor,Adhesome;OmniPath,generic,functional,resource_specific,Q15746,MYLK,protein,3,False,True,False,False,False
P27482,Q15746,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P27482,CALML3,protein,1,True,False,False,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,Q15746,MYLK,protein,3,False,True,False,False,False
P27482,Q9H1R3,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P27482,CALML3,protein,1,True,False,False,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,Q9H1R3,MYLK2,protein,3,False,True,False,False,False
P01579,Q9UQM7,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,Surfaceome;OmniPath,generic,functional,resource_specific,P01579,IFNG,protein,17,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q9UQM7,CAMK2A,protein,1,False,True,False,False,False
