X,Y
265.76,-231.14
290.48,-261.52
257.12,-133.35
753.46,-261.14
700.01,-169.05
415.63,-252.45
328.65,-356.79
991.43,-482.35
915.06,-442.77
955.85,-499.68
607.18,-773.68
715.72,-822.11
654.58,-896.76
413.97,-351.96
467.75,-420.42
552.16,-366.04
568.96,-477.25
801.01,-415.13
1336.08,-88.94
1345.42,-131.94
1391.83,-178.39
1624.13,-91.23
1663.13,-207.39
1629.36,-266.32
1688.22,-347.7
1948.39,-383.9
1992.07,-387.07
1887.01,-464.92
2038.94,-331.89
1757.08,-390.64
1771.46,-485.88
1796.81,-413.41
1539.52,-479.33
1499.82,-548.99
1557.05,-568.4
1586.02,-409.93
1632.32,-434.43
1428.11,-471.1
1482.14,-470.86
1670.62,-508.02
1697.07,-580.4
1523.49,-627.9
1441.07,-640.68
1390.23,-596.3
1589.95,-659.96
1312.49,-574.61
1365.1,-688
1192.29,-544.07
1712.35,-643.15
1409.33,-758.04
1637.7,-727.53
1317.21,-781.9
1581.91,-808.15
1470.55,-766.24
1530.6,-866.9
1666.57,-890.77
1317.3,-843.58
1218.89,-811.85
1488.38,-980.08
1477.34,-192.12
1426.21,-239
1293.3,-322.8
1363.11,-403.27
1157.74,-455.55
1205.62,-465.66
1937.92,-706.16
1878.81,-734.35
1199.42,-737.23
1871.4,-940.94
1878.6,-986.6
1934.78,-1004.24
1445.73,-1096.4
1529.5,-2094.65
1442.69,-2094.05
1615.82,-2103.53
1436.23,-2146.67
1499.47,-2171.15
1463.07,-2176.8
1372.01,-2129.34
1593.35,-2214.26
1405.91,-2221.46
1423.25,-2249.84
1537.45,-2242.63
1453.7,-2280.51
1607.48,-2260.49
1581.93,-2380.09
1112.78,-2285.49
1162.71,-2389.23
1470.28,-2383.85
1515.96,-2411.8
1559.26,-2459.14
1621.07,-2471.19
1371.12,-2443.11
1454.01,-2474.16
1192.22,-2437.32
1258.76,-2324.4
1262.25,-2509.61
1217.75,-2514.41
1146.67,-2542.08
1028.32,-2439.04
1064.01,-2504.91
1560.49,-2536.93
1621.89,-2539.52
1588.37,-2547.75
1495.98,-2565.04
1165.9,-2594.75
1202.69,-2627.62
1744.92,-2568.42
1509.57,-2654.44
1294.36,-2645.19
1164.03,-2723.99
1659.34,-2703.62
1581.84,-2782.25
1759.94,-2769.01
1539.85,-2816.16
1592.91,-2822.89
1637.75,-2834.29
1543.31,-2883.14
1603.56,-2901.35
1495.5,-2808.84
1466.8,-2893.14
1374.77,-2876.86
1437.94,-2953.21
1352.01,-2982.01
1515.21,-2944.04
1566.8,-3000.2
1326.68,-3082.67
1464.65,-2705.91
2479.47,-2091.32
2548.71,-2096.1
2604.62,-2113.66
2420.61,-2113.41
2449.47,-2160.48
2545.51,-2192.69
2438.93,-2206.39
2560.4,-2007.1
2648.78,-2121.26
2618.01,-1999.75
2692.39,-2120.57
2327.42,-2119.96
2665.37,-2227.39
2616.31,-2243.1
2744.93,-2200.67
2795.44,-2100.65
2371.33,-2235.55
2223.9,-2183.66
2422.63,-2247.18
2581.29,-2239.83
2522.73,-2274.25
2632.7,-2279.13
2697.73,-2324.13
2653.81,-2350.48
2294.74,-2259.15
2339.09,-2275.96
2574.97,-2326.42
2527.7,-2333.56
2577.18,-2358.41
2378.28,-2371.58
2665.22,-2418.41
2812.45,-2282.43
2777.85,-2292.64
2743.69,-2341.36
2584.14,-2407.06
2701.97,-2463.9
2667.6,-2458.85
2536.7,-2462.48
2615.39,-2474.43
2571.7,-2472.08
2419.03,-2432.21
2367.19,-2453.92
2450.35,-2456.96
2648.76,-2516.43
2701.65,-2527.07
2773.78,-2430.66
2116.32,-2454.83
2104.08,-2495.98
2180.79,-2367.95
2084.32,-2393.74
2017.17,-2449.55
2166.46,-2505.12
2184.4,-2537.62
2292.65,-2477.34
2328.96,-2573.27
2462.37,-2553.48
2655.01,-2579.57
2816.29,-2495
2606.64,-2560.04
2560.99,-2538.42
2551.03,-2595.33
2284.26,-2567.27
2208.98,-2572.07
2089.35,-2616.68
2461.4,-2606.93
2593.63,-2632.92
2386.64,-2595.28
2488.32,-2657.75
2594.4,-2683.18
1828.43,-2514.85
2280.02,-2625.64
