Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name
ENSG00000198888,MT-ND1,ENSMUSG00000064341,mt-Nd1
ENSG00000198763,MT-ND2,ENSMUSG00000064345,mt-Nd2
ENSG00000198804,MT-CO1,ENSMUSG00000064351,mt-Co1
ENSG00000198712,MT-CO2,ENSMUSG00000064354,mt-Co2
ENSG00000228253,MT-ATP8,ENSMUSG00000064356,mt-Atp8
ENSG00000198899,MT-ATP6,ENSMUSG00000064357,mt-Atp6
ENSG00000198938,MT-CO3,ENSMUSG00000064358,mt-Co3
ENSG00000198840,MT-ND3,ENSMUSG00000064360,mt-Nd3
ENSG00000212907,MT-ND4L,ENSMUSG00000065947,mt-Nd4l
ENSG00000198886,MT-ND4,ENSMUSG00000064363,mt-Nd4
ENSG00000198786,MT-ND5,ENSMUSG00000064367,mt-Nd5
ENSG00000198695,MT-ND6,ENSMUSG00000064368,mt-Nd6
ENSG00000198727,MT-CYB,ENSMUSG00000064370,mt-Cytb
ENSG00000278294,5_8S_rRNA,ENSMUSG00002075795,Gm54867
ENSG00000277196,PRODH,ENSMUSG00000003526,Prodh
ENSG00000278817,,ENSMUSG00000003531,Dgcr6
ENSG00000273748,,ENSMUSG00000031590,Frg1
ENSG00000274847,MAFIP,ENSMUSG00000024175,Tekt4
ENSG00000276351,,ENSMUSG00002075214,Gm56421
ENSG00000276345,,ENSMUSG00000037772,Mrpl23
ENSG00000273532,,ENSMUSG00002076121,Gm56420
ENSG00000277856,,ENSMUSG00000076661,Ighv16-1
ENSG00000277856,,ENSMUSG00000095285,Ighv5-9
ENSG00000277856,,ENSMUSG00000094194,Ighv5-16
ENSG00000277856,,ENSMUSG00000094533,Ighv11-1
ENSG00000277856,,ENSMUSG00000076633,Ighv5-2
ENSG00000277856,,ENSMUSG00000095571,Ighv5-17
ENSG00000277856,,ENSMUSG00000096108,Ighv11-2
ENSG00000277856,,ENSMUSG00000103033,Ighv5-12-4
ENSG00000277856,,ENSMUSG00000094134,Ighv5-15
ENSG00000277856,,ENSMUSG00000076655,Ighv4-1
ENSG00000277856,,ENSMUSG00000095612,Ighv5-4
ENSG00000277856,,ENSMUSG00000095210,Ighv5-9-1
ENSG00000277856,,ENSMUSG00000095429,Ighv5-12
ENSG00000277856,,ENSMUSG00000094951,Ighv5-6
ENSG00000114374,USP9Y,ENSMUSG00000069044,Usp9y
ENSG00000198692,EIF1AY,ENSMUSG00000057561,Eif1a
ENSG00000198692,EIF1AY,ENSMUSG00000113201,Eif1ad13
ENSG00000198692,EIF1AY,ENSMUSG00000079031,Eif1ad2
ENSG00000198692,EIF1AY,ENSMUSG00000079029,Eif1ad7
ENSG00000198692,EIF1AY,ENSMUSG00000093847,Eif1ad15
ENSG00000198692,EIF1AY,ENSMUSG00000113971,Eif1ad4
ENSG00000198692,EIF1AY,ENSMUSG00000096049,Eif1ad17
ENSG00000198692,EIF1AY,ENSMUSG00000113805,Eif1ad12
ENSG00000198692,EIF1AY,ENSMUSG00000095717,Eif1ad11
ENSG00000198692,EIF1AY,ENSMUSG00000096619,Eif1ad14
ENSG00000198692,EIF1AY,ENSMUSG00000072905,Eif1ad3
ENSG00000198692,EIF1AY,ENSMUSG00000095799,Eif1ad10
ENSG00000198692,EIF1AY,ENSMUSG00000079034,Eif1ad8
ENSG00000198692,EIF1AY,ENSMUSG00000114075,Eif1ad18
ENSG00000198692,EIF1AY,ENSMUSG00000096803,Eif1ad16
ENSG00000198692,EIF1AY,ENSMUSG00000092019,Eif1ad6
ENSG00000198692,EIF1AY,ENSMUSG00000095724,Eif1ad19
ENSG00000273554,,ENSMUSG00000019558,Slc6a8
ENSG00000244395,RBMY1D,ENSMUSG00000093987,Gm21704
ENSG00000244395,RBMY1D,ENSMUSG00000095852,Gm10256
ENSG00000244395,RBMY1D,ENSMUSG00000101667,Gm29289
ENSG00000244395,RBMY1D,ENSMUSG00000096520,Gm3376
ENSG00000244395,RBMY1D,ENSMUSG00000102053,Gm4064
ENSG00000244395,RBMY1D,ENSMUSG00000095948,Gm21708
ENSG00000244395,RBMY1D,ENSMUSG00000091987,Gm10352
ENSG00000244395,RBMY1D,ENSMUSG00000094511,Gm21693
ENSG00000244395,RBMY1D,ENSMUSG00000093918,Gm21677
